,3-4 oct,AEP 3 - Andalucía,Almeria,Power Huercal Overa,AEP3,OPEN,P-B,R
,14-25 oct,WORLD Masters Classic&Equipped Powerlifting Championships,"Reno, Nevada",USA,IPF,MASTERs,P,R-E
,pendiente,AEP 3 - Valencia,Valencia,GR Strength,AEP3,OPEN,P-B,R
,pendiente,"CENTRO-2, Madrid",Madrid,Black Crown,AEP2,OPEN,P-B,R-E
,sin confirmar,"CENTRO-1, Castilla-La Mancha y Extremadura",,,AEP2,OPEN,P-B,R-E
,pendiente,"ESTE-1, Cataluña y Baleares",Barcelona,P. Barcelona,AEP2,OPEN,P-B,R-E
NOV,NOVIEMBRE **,Campeonato de ESPAÑA ABSOLUTO,,Power Fenix,AEP1,OPEN,P,R
,NOVIEMBRE **,Campeonato de ESPAÑA OPEN EQUIPADO,,Power Fenix,AEP1,OPEN,P,E
,VARIABLE **,Campeonato por EQUIPOS para clubes AEP,,,ESP.,OPEN,P ,R
,pendiente,"NOROESTE-1, Asturias-Galicia-Castilla y León",Valladolid,Valkyria,AEP2,OPEN,P-B,R-E
,pendiente,AEP 3 - Valladolid ,Valladolid,Valkyria,AEP3,OPEN,P-B,R
,09-15 nov,WORLD Open Equipped Powerlifting Championships,Istanbul,Turkiye,IPF,OPEN,P,E
,pendiente,CANARIAS,,,AEP2,OPEN,P-B,R-E
DIC,06-13 dic,EUROPEAN Sub-Junior & Junior Classic Powerlifting Championships,Krajnska Gora,Slovenia,EPF,SBJ-JUN,P,R
,pendiente,"NOROESTE-2, Aragón-Cantabria-Euskadi-La Rioja-Navarra",Cantabria,P. Cantabria,AEP2,OPEN,P-B,R-E
,pendiente,AEP 3 - Cantabria,Cantabria,P. Cantabria,AEP3,OPEN,P-B,R
,pendiente,"ESTE-2, Campeonato SudEste: Murcia-Valencia-Baleares",Murcia,Myrthea,AEP2,OPEN,P-B,R-E
,FINAL DE AÑO,EVENTO PATROCINADO,,,ESP.,OPEN,P,R
,20-21 dic.,,,,,,,
,27-28 dic.,,,,,,,
,"** Las fechas de los campeonatos AEP 1 saldrán entre el 20 de noviembre y el 1 de diciembre, trás el análisis de los dossieres de los posibles organizadores. En el calendario está la fecha que AEP les recomienda. Los eventos Especiales estarán sujetos a las posibilidades de los organizdores.",,,,,,,
,"Hasta los 3 meses previos del inicio previsto, las fechas de los campeonatos AEP podrían cambiar por necesidades de organización.",,,,,,,
,Los eventos de baja participacion podrán ser recolocados o eliminados aunque se hayan adjudicado en un afecha previo aviso a los clubes.,,,,,,,
,"FECHA: solicitado por el club a la espera de fecha concreta (pendiente); previsión de hacerse el campeonato pero aún sin la confirmacion de disponibilidad o de un club organizador (sin confirmar); un mes, un intervalo de meses, una fecha concreta u otros (evento de caracteristicas especiales, consultar)",,,,,,,
,ABREVIACIONES:,,,,,,,
,"TIPO DE CAMPEONATO: (P) POWERLIFTING, (B) PRESS BANCA, (M) PESO MUERTO",,,,,,,
,"MODALIDAD: (R) RAW -SIN EQUIPAMIENTO SOPORTIVO-, (E) EQUIPADO",,,,,,,
,"DIVISIONES: OPEN +14 años en adelante, (SBJ) SUBJUNIOR hasta 18 años, (JUN) JUNIOR hasta 23 años",,,,,,,
,"DIVISIONES MASTER: MASTERS 1 (+40 años), MASTER 2 (+50 años), MASTER 3 (+60 años), MASTER 4 (+70 años)",,,,,,,
,"NIVEL: referido al ambito geografico del campeonato, a las ayudas que aportará AEP y a los requisitos organizativos y de equipamiento minimos exigidos.",,,,,,,
,"AEP 1: Competición Nacional de máximo nivel, requiere marca realizada en los 12 meses previos (div. por edad) o plazas asignadas por categoria (Copa y Absoluto) (SI se validarán records)",,,,,,,
,CLASIFICATORIO: evento de caracter nacional para optar a una plaza en Copa o Absoluto se se viene de AEP 2 o 3 (NO se validarán records),,,,,,,
,AEP 2: Competición Regional (NO se validarán records) cuya marca será clasificatoria para optar a una plaza en un AEP 1 por division de edad o al Clasificatorio,,,,,,,
,AEP 3: Competición de iniciación para levantadores noveles (NO se validarán records),,,,,,,
,ESPECIALES: eventos de caracter especial tanto por su clasificacion interna como por su fin (NO se validarán records),,,,,,,
,,,,,,,,
,,CAMPEONATO PROVINCIAL NIVEL AEP 3,,,,,,
,,CAMPEONATO REGIONAL NIVEL AEP 2,,,,,,
,CÓDIGO,CAMPEONATO CLASIFICATORIO NACIONAL,,,,,,
,DE,CAMPEONATO NACIONAL NIVEL AEP 1,,,,,,
,COLORES,CAMPEONATO EUROPEO EPF,,,,,,
,,CAMPEONATO MUNDIAL IPF,,,,,,
,,"CAMPEONATO ESPECIAL (patrocinado, equipos u otros)",,,,,,
,,,,,,,,
,Clubs interesados en la organización de competiciones contactar via e-mail: OrganizadoresAEP@gmail.com,,,,,,,
